Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TANNL,TravelCenters of America LLC,24.649,,,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/tannl
TANNZ,TravelCenters of America LLC,24.95,,,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/tannz
TZOO,Travelzoo,11.05,$135.74M,,Technology,EDP Services,https://www.nasdaq.com/symbol/tzoo
TRMT,Tremont Mortgage Trust,11.89,$37.37M,2017.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/trmt
TRVN,"Trevena, Inc.",1.95,$148.36M,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/trvn
TCBK,TriCo Bancshares,38.49,$1.17B,,Finance,Major Banks,https://www.nasdaq.com/symbol/tcbk
TRIL,Trillium Therapeutics Inc.,6.2,$89.43M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tril
TRS,TriMas Corporation,31.1,$1.43B,2007.0,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/trs
TRMB,Trimble Inc.,42.6,$10.65B,1990.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/trmb
TRIB,Trinity Biotech plc,4.01,$83.92M,1992.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/trib
TRIP,"TripAdvisor, Inc.",51.13,$7.03B,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/trip
TSC,"TriState Capital Holdings, Inc.",27.95,$809.14M,2013.0,Finance,Major Banks,https://www.nasdaq.com/symbol/tsc
TBK,"Triumph Bancorp, Inc.",41.8,$1.1B,2014.0,Finance,Major Banks,https://www.nasdaq.com/symbol/tbk
TRVG,trivago N.V.,5.9,$2.07B,2016.0,Technology,EDP Services,https://www.nasdaq.com/symbol/trvg
TRNC,"tronc, Inc.",16.52,$585.81M,,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/trnc
TROV,"TrovaGene, Inc.",0.8081,$14.29M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/trov
TRUE,"TrueCar, Inc.",13.95,$1.42B,2014.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/true
THST,"Truett-Hurst, Inc.",1.94,$8.72M,2013.0,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/thst
TRUP,"Trupanion, Inc.",35.18,$1.16B,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/trup
TRST,TrustCo Bank Corp NY,8.5,$820.6M,,Finance,Major Banks,https://www.nasdaq.com/symbol/trst
TRMK,Trustmark Corporation,34.54,$2.34B,,Finance,Major Banks,https://www.nasdaq.com/symbol/trmk
TSRI,"TSR, Inc.",7.2,$14.13M,,Technology,EDP Services,https://www.nasdaq.com/symbol/tsri
TTEC,"TTEC Holdings, Inc.",27.25,$1.26B,1996.0,Technology,Professional Services,https://www.nasdaq.com/symbol/ttec
TTMI,"TTM Technologies, Inc.",17.32,$1.8B,2000.0,Technology,Electrical Products,https://www.nasdaq.com/symbol/ttmi
TCX,Tucows Inc.,55.6,$589.86M,,Technology,EDP Services,https://www.nasdaq.com/symbol/tcx
TUES,Tuesday Morning Corp.,3.15,$144.64M,1999.0,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/tues
TOUR,Tuniu Corporation,7.26,$941.18M,2014.0,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/tour
HEAR,Turtle Beach Corporation,20.27,$279.65M,,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/hear
FOX,"Twenty-First Century Fox, Inc.",44.65,$82.72B,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/fox
FOXA,"Twenty-First Century Fox, Inc.",45.01,$54.95B,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/foxa
TWIN,"Twin Disc, Incorporated",23.03,$265.65M,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/twin
TRCB,Two River Bancorp,17.3,$148.05M,,Finance,Major Banks,https://www.nasdaq.com/symbol/trcb
TYME,"Tyme Technologies, Inc.",2.47,$250.03M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tyme
USCR,"U S Concrete, Inc.",50.05,$841.74M,,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/uscr
PRTS,"U.S. Auto Parts Network, Inc.",1.63,$52.49M,2007.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/prts
USEG,U.S. Energy Corp.,1.04,$13.63M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/useg
GROW,"U.S. Global Investors, Inc.",1.64,$24.84M,,Finance,Investment Managers,https://www.nasdaq.com/symbol/grow
USAU,U.S. Gold Corp.,1.05,$19.57M,,,,https://www.nasdaq.com/symbol/usau
UBNT,"Ubiquiti Networks, Inc.",98.4,$7.28B,2011.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/ubnt
UFPT,"UFP Technologies, Inc.",36.3,$267.15M,1993.0,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/ufpt
ULTA,"Ulta Beauty, Inc.",280.99,$16.79B,2007.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/ulta
UCTT,"Ultra Clean Holdings, Inc.",13.68,$532.63M,2004.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/uctt
UPL,Ultra Petroleum Corp.,1.24,$244.35M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/upl
RARE,Ultragenyx Pharmaceutical Inc.,88.64,$4.45B,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rare
ULBI,Ultralife Corporation,8.9,$141.92M,1992.0,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ulbi
UMBF,UMB Financial Corporation,72.7,$3.64B,,Finance,Major Banks,https://www.nasdaq.com/symbol/umbf
UMPQ,Umpqua Holdings Corporation,21.58,$4.75B,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/umpq
UNAM,Unico American Corporation,7.1,$37.68M,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/unam
UBSH,Union Bankshares Corporation,39.59,$2.61B,,Finance,Major Banks,https://www.nasdaq.com/symbol/ubsh
